Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@3,lr
0,0.056,0.005,3.4080400466918945,15.02180004119873,38.388999938964844,0.01
1,0.053,0.006,2.733220100402832,20.827299118041992,45.86360168457031,0.01
2,0.051,0.004,2.2743499279022217,27.285900115966797,58.63570022583008,0.01
3,0.051,0.004,2.02374005317688,33.01890182495117,66.18289947509766,0.01
4,0.052,0.004,1.9211499691009521,37.5906982421875,67.56169891357422,0.01
5,0.052,0.004,1.7138299942016602,45.137901306152344,72.7865982055664,0.01
6,0.052,0.004,1.4071400165557861,54.20899963378906,80.62409973144531,0.01
7,0.052,0.005,1.442579984664917,53.70100021362305,77.86650085449219,0.01
8,0.051,0.004,1.2467199563980103,57.256900787353516,82.80120086669922,0.01
9,0.051,0.004,1.0306700468063354,65.02179718017578,87.51809692382812,0.001
10,0.051,0.004,0.969290018081665,69.08560180664062,89.04209899902344,0.001
11,0.052,0.004,0.874459981918335,70.02899932861328,90.05799865722656,0.001
12,0.052,0.004,0.837119996547699,73.07689666748047,89.91290283203125,0.0001
13,0.052,0.005,0.8304100036621094,71.91580200195312,90.71119689941406,0.0001
14,0.051,0.004,0.8315500020980835,71.84329986572266,91.0739974975586,1e-05
14,0.055,0.005,0.8614299893379211,70.46440124511719,90.4208984375,1e-05
15,0.05,0.003,0.8413800001144409,71.6980972290039,91.5093994140625,1e-05
16,0.051,0.004,0.8194199800491333,70.75469970703125,90.78369903564453,1e-05
17,0.051,0.004,0.8015300035476685,73.36720275878906,91.87229919433594,1e-05
18,0.051,0.004,0.7754999995231628,73.94779968261719,92.74310302734375,1e-05
19,0.051,0.004,0.860729992389679,71.6980972290039,89.91290283203125,1e-05
20,0.051,0.004,0.8508599996566772,71.91580200195312,90.8563003540039,1.0000000000000002e-06
21,0.052,0.004,0.8525500297546387,71.48040008544922,90.71119689941406,1.0000000000000002e-06
22,0.051,0.004,0.830020010471344,70.82730102539062,91.36430358886719,1.0000000000000002e-07
23,0.052,0.004,0.8389400243759155,72.20610046386719,90.4208984375,1.0000000000000002e-07
24,0.052,0.004,0.8344500064849854,72.71410369873047,90.20320129394531,1.0000000000000004e-08
25,0.051,0.004,0.8629199862480164,71.40779876708984,89.55010223388672,1.0000000000000004e-08
26,0.051,0.004,0.8588799834251404,70.6095962524414,90.34829711914062,1.0000000000000004e-08
27,0.052,0.005,0.828760027885437,72.49639892578125,91.29170227050781,1.0000000000000004e-08
28,0.051,0.004,0.859529972076416,70.68209838867188,90.92890167236328,1.0000000000000004e-08
29,0.051,0.004,0.8687099814414978,70.75469970703125,91.00140380859375,1.0000000000000004e-08
30,0.052,0.005,0.839959979057312,71.11759948730469,90.63860321044922,1.0000000000000004e-08
31,0.054,0.007,0.8714100122451782,70.97239685058594,89.11470031738281,1.0000000000000004e-08
32,0.052,0.004,0.821399986743927,71.91580200195312,91.29170227050781,1.0000000000000004e-08
33,0.051,0.004,0.8765199780464172,71.26270294189453,89.62259674072266,1.0000000000000004e-08
34,0.051,0.004,0.8479099869728088,71.62550354003906,90.8563003540039,1.0000000000000004e-08
35,0.051,0.003,0.8734700083732605,70.89990234375,89.11470031738281,1.0000000000000004e-08
36,0.051,0.004,0.8381100296974182,72.93180084228516,90.63860321044922,1.0000000000000004e-08
37,0.052,0.004,0.8630300164222717,71.91580200195312,90.27580261230469,1.0000000000000004e-08
38,0.051,0.004,0.8760700225830078,70.39189910888672,90.27580261230469,1.0000000000000004e-08
39,0.051,0.004,0.8798199892044067,70.31929779052734,89.91290283203125,1.0000000000000004e-08
40,0.051,0.004,0.8513200283050537,71.19010162353516,91.65460205078125,1.0000000000000004e-08
41,0.051,0.004,0.8613799810409546,71.91580200195312,90.63860321044922,1.0000000000000004e-08
42,0.052,0.004,0.8289700150489807,72.56890106201172,91.00140380859375,1.0000000000000004e-08
43,0.052,0.004,0.8230100274085999,73.14949798583984,91.00140380859375,1.0000000000000004e-08
44,0.051,0.004,0.8391100168228149,72.3511962890625,89.91290283203125,1.0000000000000004e-08
45,0.052,0.004,0.8441200256347656,71.40779876708984,89.69519805908203,1.0000000000000004e-08
46,0.052,0.004,0.8377799987792969,71.26270294189453,91.58200073242188,1.0000000000000004e-08
47,0.052,0.004,0.8619999885559082,70.75469970703125,90.49349975585938,1.0000000000000004e-08
48,0.052,0.004,0.8711599707603455,71.11759948730469,90.8563003540039,1.0000000000000004e-08
49,0.052,0.004,0.8086299896240234,74.02030181884766,90.71119689941406,1.0000000000000004e-08
0,0.058,0.006,3.2434000968933105,11.320799827575684,29.24530029296875,0.01
1,0.052,0.003,2.457319974899292,15.67490005493164,40.20320129394531,0.01
2,0.055,0.006,2.3506500720977783,19.375900268554688,45.79100036621094,0.01
3,0.056,0.006,2.2501299381256104,23.36720085144043,51.88679885864258,0.01
4,0.055,0.006,2.1431798934936523,27.285900115966797,57.402000427246094,0.01
5,0.054,0.005,2.0204899311065674,32.43830108642578,61.68360137939453,0.001
6,0.054,0.005,1.8868499994277954,37.01020050048828,67.70680236816406,0.001
7,0.054,0.004,1.79121994972229,39.40489959716797,70.10160064697266,0.001
8,0.054,0.004,1.7375600337982178,42.52539825439453,70.89990234375,0.0001
9,0.055,0.005,1.6931899785995483,43.61389923095703,72.7865982055664,0.0001
10,0.056,0.007,1.695330023765564,43.75910186767578,74.818603515625,0.0001
11,0.056,0.006,1.6568000316619873,43.90420150756836,74.31060028076172,0.0001
12,0.056,0.006,1.6672699451446533,44.12189865112305,74.16549682617188,0.0001
13,0.055,0.005,1.6806800365447998,45.21039962768555,74.02030181884766,0.0001
14,0.055,0.006,1.665869951248169,45.79100036621094,73.22209930419922,0.0001
15,0.054,0.005,1.6413999795913696,44.847599029541016,74.5282974243164,1e-05
16,0.055,0.005,1.633270025253296,45.64590072631836,74.96369934082031,1e-05
17,0.055,0.006,1.6069400310516357,47.677799224853516,75.25399780273438,1.0000000000000002e-06
18,0.055,0.006,1.632889986038208,46.44409942626953,76.19740295410156,1.0000000000000002e-06
19,0.054,0.005,1.595170021057129,47.38750076293945,75.97969818115234,1.0000000000000002e-07
20,0.055,0.006,1.6281800270080566,46.29899978637695,74.67340087890625,1.0000000000000002e-07
21,0.055,0.005,1.6343899965286255,46.15380096435547,74.5282974243164,1.0000000000000004e-08
22,0.054,0.005,1.580590009689331,48.54859924316406,76.19740295410156,1.0000000000000004e-08
23,0.055,0.006,1.6187399625778198,45.21039962768555,74.818603515625,1.0000000000000004e-08
24,0.054,0.005,1.625309944152832,44.19449996948242,75.76200103759766,1.0000000000000004e-08
25,0.054,0.005,1.6185200214385986,45.936100006103516,75.54429626464844,1.0000000000000004e-08
26,0.054,0.004,1.579259991645813,47.1697998046875,76.63279724121094,1.0000000000000004e-08
27,0.055,0.006,1.6337900161743164,45.28300094604492,75.03630065917969,1.0000000000000004e-08
28,0.055,0.006,1.6343300342559814,46.29899978637695,75.181396484375,1.0000000000000004e-08
29,0.055,0.006,1.630139946937561,45.64590072631836,76.12480163574219,1.0000000000000004e-08
30,0.054,0.005,1.6121200323104858,45.71839904785156,75.6167984008789,1.0000000000000004e-08
31,0.054,0.005,1.6151700019836426,47.46009826660156,76.41510009765625,1.0000000000000004e-08
32,0.054,0.005,1.6073399782180786,46.37160110473633,75.76200103759766,1.0000000000000004e-08
33,0.055,0.006,1.6224299669265747,46.15380096435547,75.32659912109375,1.0000000000000004e-08
34,0.054,0.004,1.6093900203704834,45.35559844970703,75.32659912109375,1.0000000000000004e-08
35,0.054,0.004,1.5847500562667847,48.11320114135742,76.2699966430664,1.0000000000000004e-08
36,0.054,0.004,1.6201200485229492,47.53269958496094,74.67340087890625,1.0000000000000004e-08
37,0.054,0.005,1.6310499906539917,44.92020034790039,74.3832015991211,1.0000000000000004e-08
38,0.054,0.005,1.6155400276184082,47.314998626708984,75.68939971923828,1.0000000000000004e-08
39,0.055,0.005,1.6095199584960938,47.02470016479492,75.25399780273438,1.0000000000000004e-08
40,0.054,0.005,1.6075799465179443,46.95209884643555,75.83450317382812,1.0000000000000004e-08
41,0.055,0.006,1.6064300537109375,46.29899978637695,76.2699966430664,1.0000000000000004e-08
42,0.054,0.005,1.6036499738693237,47.605201721191406,74.96369934082031,1.0000000000000004e-08
