Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@3,lr
0,0.066,0.003,1.488319993019104,57.256900787353516,78.88240051269531,0.0005
0,0.065,0.003,1.4845499992370605,58.345401763916016,78.22930145263672,0.0005
1,0.064,0.003,0.5992500185966492,82.43830108642578,95.28299713134766,0.0005
2,0.065,0.004,0.28033000230789185,91.65460205078125,98.62120056152344,0.0005
3,0.065,0.004,0.22380000352859497,92.88819885253906,98.47599792480469,0.0005
4,0.066,0.004,0.10242000222206116,96.58930206298828,99.5645980834961,5e-05
5,0.066,0.004,0.07406999915838242,97.38749694824219,99.70970153808594,5e-05
6,0.066,0.004,0.06758999824523926,97.8228988647461,99.5645980834961,5e-06
7,0.066,0.004,0.08156000077724457,97.1697998046875,99.63719940185547,5e-06
8,0.066,0.004,0.09824000298976898,97.02469635009766,99.3469009399414,5.000000000000001e-07
9,0.066,0.004,0.07842999696731567,97.31500244140625,99.49199676513672,5.000000000000001e-07
10,0.066,0.004,0.060109999030828476,98.11319732666016,99.78230285644531,5.000000000000001e-08
11,0.066,0.004,0.08059000223875046,97.75039672851562,99.5645980834961,5.000000000000001e-08
12,0.066,0.004,0.05758000165224075,98.33090209960938,99.63719940185547,5.000000000000001e-08
13,0.066,0.004,0.06313999742269516,97.75039672851562,99.70970153808594,5.000000000000002e-09
14,0.066,0.004,0.06694000214338303,98.18579864501953,99.70970153808594,5.000000000000002e-09
14,0.071,0.004,0.06955999881029129,97.53269958496094,99.70970153808594,5.000000000000002e-09
15,0.069,0.003,0.04902999848127365,98.47599792480469,99.85489654541016,5.000000000000002e-09
16,0.07,0.004,0.0528700016438961,98.54859924316406,99.70970153808594,5.000000000000002e-09
17,0.066,0.004,0.06851000338792801,97.6052017211914,99.70970153808594,5.000000000000002e-09
18,0.065,0.003,0.06962999701499939,98.11319732666016,99.5645980834961,5.000000000000002e-09
19,0.065,0.003,0.0628499984741211,98.33090209960938,99.85489654541016,5.000000000000002e-09
20,0.066,0.004,0.06962999701499939,97.75039672851562,99.85489654541016,5.000000000000002e-09
21,0.065,0.003,0.0517599992454052,98.25830078125,99.85489654541016,5.000000000000002e-09
22,0.065,0.003,0.07451999932527542,97.89550018310547,99.63719940185547,5.000000000000002e-09
23,0.065,0.003,0.05844999849796295,98.54859924316406,99.63719940185547,5.000000000000002e-09
24,0.066,0.004,0.06729000061750412,97.89550018310547,99.49199676513672,5.000000000000002e-09
25,0.065,0.003,0.052060000598430634,98.33090209960938,99.63719940185547,5.000000000000002e-09
26,0.065,0.003,0.04912000149488449,98.62120056152344,99.92739868164062,5.000000000000002e-09
27,0.065,0.003,0.06864000111818314,98.04060363769531,99.63719940185547,5.000000000000002e-09
28,0.065,0.003,0.06193999946117401,97.89550018310547,99.63719940185547,5.000000000000002e-09
29,0.065,0.004,0.07131999731063843,97.8228988647461,99.3469009399414,5.000000000000002e-09
30,0.065,0.003,0.05406000092625618,98.18579864501953,99.78230285644531,5.000000000000002e-09
31,0.065,0.003,0.07829000055789948,97.24240112304688,99.5645980834961,5.000000000000002e-09
32,0.065,0.003,0.05480999872088432,98.33090209960938,99.70970153808594,5.000000000000002e-09
33,0.065,0.003,0.062219999730587006,97.96810150146484,99.92739868164062,5.000000000000002e-09
34,0.065,0.003,0.07195000350475311,97.96810150146484,99.3469009399414,5.000000000000002e-09
35,0.065,0.003,0.05919000133872032,97.89550018310547,99.78230285644531,5.000000000000002e-09
36,0.066,0.003,0.05406999960541725,97.8228988647461,99.78230285644531,5.000000000000002e-09
37,0.065,0.003,0.05511999875307083,98.18579864501953,99.70970153808594,5.000000000000002e-09
38,0.065,0.003,0.06928999722003937,97.8228988647461,99.63719940185547,5.000000000000002e-09
39,0.065,0.003,0.0690699964761734,97.89550018310547,99.63719940185547,5.000000000000002e-09
40,0.065,0.003,0.06302999705076218,97.8228988647461,100.0,5.000000000000002e-09
41,0.065,0.003,0.049539998173713684,98.33090209960938,99.85489654541016,5.000000000000002e-09
42,0.065,0.003,0.08261000365018845,97.46009826660156,99.41940307617188,5.000000000000002e-09
43,0.066,0.004,0.07207000255584717,98.25830078125,99.49199676513672,5.000000000000002e-09
44,0.065,0.003,0.0658000037074089,97.75039672851562,99.70970153808594,5.000000000000002e-09
45,0.065,0.003,0.06780000030994415,97.53269958496094,99.70970153808594,5.000000000000002e-09
46,0.065,0.003,0.07119999825954437,97.75039672851562,99.63719940185547,5.000000000000002e-09
47,0.066,0.004,0.06888999789953232,97.96810150146484,99.49199676513672,5.000000000000002e-09
48,0.065,0.003,0.07123000174760818,97.53269958496094,99.63719940185547,5.000000000000002e-09
49,0.065,0.003,0.08591999858617783,97.6052017211914,99.63719940185547,5.000000000000002e-09
